,idSolicitudLista,txOrganizacionPolitica,numLista,numCandidatos,txDescUbigeo,idOrganizacionPolitica,txDepartamento,txProvincia,txDistrito,idTipoEleccion,numTotalCandidatoHombre,numTotalCandidatoMujer,fgTieneAccesitario,numTotalAccesitarios,numTotalObligatorios,txTipoEleccion
121,12001,PARTIDO FRENTE DE LA ESPERANZA 2021,1,28,JUNIN,2857,JUNIN,,,4,15,13,NO,0,28,REGIONAL
122,7917,RENOVACION POPULAR,1,36,LA LIBERTAD,22,LA LIBERTAD,,,4,17,19,NO,0,36,REGIONAL
123,8371,CONCERTACION PARA EL DESARROLLO REGIONAL - LIMA,1,32,LIMA,332,LIMA,,,4,17,15,SI,4,28,REGIONAL
124,13907,ALIANZA PARA EL PROGRESO,1,54,LA LIBERTAD,1257,LA LIBERTAD,,,4,28,26,SI,18,36,REGIONAL
125,1881,JUNTOS POR EL PERU,1,28,LIMA,1264,LIMA,,,4,14,14,NO,0,28,REGIONAL
126,8811,PARTIDO DEMOCRATICO SOMOS PERU,1,24,MOQUEGUA,14,MOQUEGUA,,,4,12,12,SI,2,22,REGIONAL
127,13953,PARTIDO MORADO,1,22,MOQUEGUA,2840,MOQUEGUA,,,4,11,11,NO,0,22,REGIONAL
128,8757,PARTIDO DEMOCRATICO SOMOS PERU,1,24,UCAYALI,14,UCAYALI,,,4,11,13,NO,0,24,REGIONAL
129,5175,PARTIDO FRENTE DE LA ESPERANZA 2021,1,41,AREQUIPA,2857,AREQUIPA,,,4,21,20,SI,11,30,REGIONAL
130,2730,POR TI CALLAO,1,20,CALLAO,2199,CALLAO,,,4,10,10,NO,0,20,REGIONAL
131,14117,ALIANZA PARA EL PROGRESO,1,33,HUANCAVELICA,1257,HUANCAVELICA,,,4,17,16,SI,9,24,REGIONAL
132,12194,MOVIMIENTO POLITICO REGIONAL DIGNIDAD TUMBESINA,1,16,TUMBES,2754,TUMBES,,,4,8,8,NO,0,16,REGIONAL
133,2352,PARTIDO DEMOCRATICO SOMOS PERU,1,16,TUMBES,14,TUMBES,,,4,7,9,NO,0,16,REGIONAL
134,14202,ALIANZA PARA EL PROGRESO,1,25,CALLAO,1257,CALLAO,,,4,12,13,SI,5,20,REGIONAL
135,12004,PARTIDO MORADO,1,24,UCAYALI,2840,UCAYALI,,,4,13,11,NO,0,24,REGIONAL
136,13562,SENTIMIENTO AMAZONENSE REGIONAL,1,22,AMAZONAS,2277,AMAZONAS,,,4,11,11,NO,0,22,REGIONAL
137,14261,FE EN EL PERU,1,28,LIMA,2898,LIMA,,,4,15,13,NO,0,28,REGIONAL
138,14230,PARTIDO MORADO,1,42,HUANUCO,2840,HUANUCO,,,4,21,21,NO,0,42,REGIONAL
139,13865,PARTIDO POLITICO NACIONAL PERU LIBRE,1,24,PASCO,2218,PASCO,,,4,13,11,NO,0,24,REGIONAL
140,14055,VIVA EL CALLAO,1,20,CALLAO,2880,CALLAO,,,4,9,11,NO,0,20,REGIONAL
141,10290,PODEMOS PERU,1,52,ANCASH,2731,ANCASH,,,4,26,26,NO,0,52,REGIONAL
142,4433,PARTIDO DEMOCRATICO SOMOS PERU,1,47,LORETO,14,LORETO,,,4,23,24,SI,13,34,REGIONAL
143,2275,PARTIDO DEMOCRATICO SOMOS PERU,1,30,AREQUIPA,14,AREQUIPA,,,4,15,15,NO,0,30,REGIONAL
144,4405,PARTIDO DEMOCRATICO SOMOS PERU,1,26,PIURA,14,PIURA,,,4,14,12,SI,2,24,REGIONAL
145,11740,PARTIDO FRENTE DE LA ESPERANZA 2021,1,40,PUNO,2857,PUNO,,,4,21,19,NO,0,40,REGIONAL
146,14283,ALIANZA PARA EL PROGRESO,1,41,AREQUIPA,1257,AREQUIPA,,,4,20,21,SI,11,30,REGIONAL
147,14434,PASCO DIGNIDAD,1,26,PASCO,1705,PASCO,,,4,14,12,SI,2,24,REGIONAL
148,14420,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,1,22,LAMBAYEQUE,2173,LAMBAYEQUE,,,4,11,11,NO,0,22,REGIONAL
149,14659,ALIANZA PARA EL PROGRESO,1,28,AMAZONAS,1257,AMAZONAS,,,4,14,14,SI,6,22,REGIONAL
150,83,CAJAMARCA SIEMPRE VERDE,1,59,CAJAMARCA,1464,CAJAMARCA,,,4,29,30,SI,19,40,REGIONAL
151,4643,JUNTOS POR EL PERU,1,22,LAMBAYEQUE,1264,LAMBAYEQUE,,,4,11,11,NO,0,22,REGIONAL
152,4515,JUNTOS POR EL PERU,1,16,TUMBES,1264,TUMBES,,,4,9,7,NO,0,16,REGIONAL
153,9585,PARTIDO FRENTE DE LA ESPERANZA 2021,1,28,LIMA,2857,LIMA,,,4,13,15,NO,0,28,REGIONAL
154,14353,MISION ORGANIZADA VIA INTEGRIDAD Y LIBERTAD,1,37,LORETO,2907,LORETO,,,4,19,18,SI,3,34,REGIONAL
155,14584,PARTIDO POLITICO NACIONAL PERU LIBRE,1,24,APURIMAC,2218,APURIMAC,,,4,13,11,NO,0,24,REGIONAL
156,4993,JUNTOS POR EL PERU,1,22,MOQUEGUA,1264,MOQUEGUA,,,4,11,11,NO,0,22,REGIONAL
157,14750,FRENTE POPULAR AGRICOLA FIA DEL PERU,1,26,HUANCAVELICA,2901,HUANCAVELICA,,,4,13,13,SI,2,24,REGIONAL
158,13038,ACCION POPULAR,1,22,MADRE DE DIOS,4,MADRE DE DIOS,,,4,11,11,NO,0,22,REGIONAL
159,14300,ACCION POPULAR,1,24,UCAYALI,4,UCAYALI,,,4,13,11,NO,0,24,REGIONAL
160,11908,PARTIDO MORADO,1,26,ICA,2840,ICA,,,4,13,13,SI,2,24,REGIONAL
161,14509,PARTIDO DEMOCRATICO SOMOS PERU,1,68,CUSCO,14,CUSCO,,,4,34,34,SI,22,46,REGIONAL
162,7682,FUERZA POPULAR,1,52,ANCASH,1366,ANCASH,,,4,26,26,NO,0,52,REGIONAL
